timestamp,action,resource_type,resource_id,name,repo,owner,environment,purpose,phase,version,created,TTL,cleanup,profile,account_id,region,source_or_parent,issue_or_pr,evidence,notes
2026-09-01T22:14:00+08:00,created,AWS::BedrockAgentCore::Harness,issue-17-harness,AgentCoreHarnessMvpR1,AgentCore,amit,dev,Create invoke cleanup Harness proof,harness-mvp,r1,2026-09-01,02-09-26,delete,amit,local-evidence,ap-southeast-1,scripts/harness-mvp.sh,#17,/home/user/.AGENTS-temp/AgentCore/harness-mvp/20260901T221357+0800,Exact AWS identifiers remain in private evidence
2026-09-01T22:14:00+08:00,created,AWS::IAM::Role,issue-17-execution-role,AgentCoreBedrockAgentCoreHarnessMvpR1,AgentCore,amit,dev,Temporary Harness execution role,harness-mvp,r1,2026-09-01,02-09-26,delete,amit,local-evidence,global,scripts/harness-mvp.sh,#17,/home/user/.AGENTS-temp/AgentCore/harness-mvp/20260901T221357+0800,Tagged role with inline least-purpose POC policy
2026-09-01T22:19:00+08:00,deleted,AWS::BedrockAgentCore::Harness,issue-17-harness,AgentCoreHarnessMvpR1,AgentCore,amit,dev,Create invoke cleanup Harness proof,harness-mvp,r1,2026-09-01,02-09-26,delete,amit,local-evidence,ap-southeast-1,scripts/harness-mvp.sh,#17,/home/user/.AGENTS-temp/AgentCore/harness-mvp/20260901T221357+0800,Deletion independently verified
2026-09-01T22:19:00+08:00,deleted,AWS::IAM::Role,issue-17-execution-role,AgentCoreBedrockAgentCoreHarnessMvpR1,AgentCore,amit,dev,Temporary Harness execution role,harness-mvp,r1,2026-09-01,02-09-26,delete,amit,local-evidence,global,scripts/harness-mvp.sh,#17,/home/user/.AGENTS-temp/AgentCore/harness-mvp/20260901T221357+0800,Role and inline policy deletion independently verified
2026-09-01T15:28:09+08:00,created,AWS::IAM::Role,agentcore-live-demo-readonly-role-r1,agentcore-live-demo-readonly-role-r1,AgentCore,amit,dev,Read-only EC2 and Inspector facts with explicit SSM deny,POC,issue12,01-09-26,01-10-26,review,amit,local-evidence,global,scripts/provision-live-demo-role.sh,#12/#13,local CLI validation,No identifiers or credentials recorded
2026-08-27T02:14:53+08:00,created,AWS::CloudFormation::Stack,AgentCoreMvp,AgentCoreMvp,AgentCore,amit,dev,Three-view governed Bedrock access POC,issue-4-mvp,issue-4-r1,2026-08-27,03-09-26,delete,project1,local-evidence,ap-southeast-1,cdk/AgentCoreMvp,#4/#5,~/.AGENTS-temp/AgentCore/aws/20260827T021416+0800/outputs.json,Initial stack deployment; exact account and physical IDs remain in local evidence
2026-08-27T02:14:53+08:00,created,AWS::ApiGateway::RestApi,PlatformGateway,agentcore-issue4-platform-api,AgentCore,amit,dev,Public demo API facade,issue-4-mvp,issue-4-r1,2026-08-27,03-09-26,delete,project1,local-evidence,ap-southeast-1,AgentCoreMvp,#4/#5,~/.AGENTS-temp/AgentCore/aws-inventory/20260827T0228+0800/resources.json,Stage demo plus generated methods deployment proxy resource and Lambda permissions
2026-08-27T02:14:53+08:00,created,AWS::Lambda::Function,PlatformApi,agentcore-issue4-platform-api,AgentCore,amit,dev,Policy gate and Bedrock invocation,issue-4-mvp,issue-4-r1,2026-08-27,03-09-26,delete,project1,local-evidence,ap-southeast-1,AgentCoreMvp,#4/#5,~/.AGENTS-temp/AgentCore/aws-inventory/20260827T0228+0800/resources.json,Python 3.13 ARM64 256 MB
2026-08-27T02:14:53+08:00,created,AWS::DynamoDB::Table,AuditTable,agentcore-issue4-mvp,AgentCore,amit,dev,Key hash and request audit records,issue-4-mvp,issue-4-r1,2026-08-27,03-09-26,delete,project1,local-evidence,ap-southeast-1,AgentCoreMvp,#4/#5,~/.AGENTS-temp/AgentCore/aws-inventory/20260827T0228+0800/resources.json,Pay per request and no PITR
2026-08-27T02:14:53+08:00,created,AWS::Logs::LogGroup,PlatformApiLogGroup,platform-api-log-group,AgentCore,amit,dev,Lambda operational logs,issue-4-mvp,issue-4-r1,2026-08-27,03-09-26,delete,project1,local-evidence,ap-southeast-1,AgentCoreMvp,#4/#5,~/.AGENTS-temp/AgentCore/aws-inventory/20260827T0228+0800/resources.json,Seven-day retention
2026-08-27T02:14:53+08:00,created,AWS::IAM::Role,PlatformApiServiceRole,platform-api-service-role,AgentCore,amit,dev,Lambda execution role,issue-4-mvp,issue-4-r1,2026-08-27,03-09-26,delete,project1,local-evidence,ap-southeast-1,AgentCoreMvp,#4/#5,~/.AGENTS-temp/AgentCore/aws-inventory/20260827T0228+0800/resources.json,Stack-owned role
2026-08-27T02:14:53+08:00,created,AWS::IAM::Policy,PlatformApiServiceRoleDefaultPolicy,platform-api-service-role-policy,AgentCore,amit,dev,DynamoDB logs and Bedrock invoke permissions,issue-4-mvp,issue-4-r1,2026-08-27,03-09-26,delete,project1,local-evidence,ap-southeast-1,AgentCoreMvp,#4/#5,~/.AGENTS-temp/AgentCore/aws-inventory/20260827T0228+0800/resources.json,Stack-owned policy
2026-08-27T02:25:43+08:00,updated,AWS::CloudFormation::Stack,AgentCoreMvp,AgentCoreMvp,AgentCore,amit,dev,Three-view governed Bedrock access POC,issue-4-mvp,issue-4-r1,2026-08-27,03-09-26,delete,project1,local-evidence,ap-southeast-1,cdk/AgentCoreMvp,#4/#5,~/.AGENTS-temp/AgentCore/aws/20260827T022450+0800/outputs.json,Updated six stack resources and rotated one API deployment
2026-08-27T02:26:24+08:00,deleted,AWS::ApiGateway::Deployment,PlatformGatewayDeployment-r0,PlatformGatewayDeployment,AgentCore,amit,dev,Replaced API deployment,issue-4-mvp,issue-4-r1,2026-08-27,03-09-26,delete,project1,local-evidence,ap-southeast-1,AgentCoreMvp,#4/#5,CloudFormation stack event history,Deleted automatically during CDK update
2026-08-27T03:47:14+08:00,created,AWS::CloudFormation::Stack,AgentCoreMvp,AgentCoreMvp,AgentCore,amit,dev,Three-view governed Bedrock access POC,issue-4-mvp,issue-4-r1,2026-08-27,03-09-26,delete,amit,local-evidence,ap-southeast-1,cdk/AgentCoreMvp,#4/#5,~/.AGENTS-temp/AgentCore/aws/20260827T034633+0800/outputs.json,Paid-account live demo stack; exact account and physical IDs remain in local evidence
2026-08-27T03:47:14+08:00,created,AWS::ApiGateway::RestApi,PlatformGateway,agentcore-issue4-platform-api,AgentCore,amit,dev,Public demo API facade,issue-4-mvp,issue-4-r1,2026-08-27,03-09-26,delete,amit,local-evidence,ap-southeast-1,AgentCoreMvp,#4/#5,~/.AGENTS-temp/AgentCore/aws-inventory/20260827T034919+0800/resources.json,Stage demo plus generated methods deployment proxy resource and Lambda permissions
